ftst_tckr_no,topc_id,kor_item_name,item_eng_dtl_name,bzns_otln_dtl_text,myd_excg_no,oppr_tot_amt,item_keyword,item_category,item_brand,customer,supplier,competitor
190620-KR,EF0000000050,KINDEX 단기통안채,KIM KINDEX SHORT-TERM MSB MONEY MARKET ETF,가격변동성이 낮고 안정성이 높은 통화안정증권에 주로 투자하는 ETF,KRX,139.13,"['한국투자 KINDEX 단기자금 증권 상장지수투자신탁(채권)', 'ETF', '상장지수', '한국투자', 'KINDEX 단기통안채', '190620']","[{'category_topc_id': 'EC0000000005', 'category': '국내국공채', 'wght_val': 176}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
245710-KR,EF0000000051,KINDEX 베트남VN30(합성),KIM KINDEX Vietnam VN30 ETF(Synth),베트남 주식시장을 대표하는 대형주 30종목에 투자하는 ETF,KRX,179.08,"['한국투자 KINDEX 베트남VN30증권상장지수투자신탁(주식-파생형', 'ETF', '상장지수', '한국투자', 'KINDEX 베트남VN30(합성)', '245710']","[{'category_topc_id': 'EC0000000003', 'category': '해외주식:시장', 'wght_val': 178}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
381180-KR,EF0000000052,TIGER 미국필라델피아반도체나스닥,MIRAE ASSET TIGER US PHLX Semiconductor Sector Nasdaq ETF,글로벌 반도체 밸류체인 전반에 투자하는 ETF,KRX,781.69,"['미래에셋 TIGER 미국필라델피아반도체나스닥증권상장지수투', 'ETF', '상장지수', '미래에셋', 'TIGER 미국필라델피아반도체나스닥', '381180']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 223}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
161510-KR,EF0000000053,ARIRANG 고배당주,Hanwha ARIRANG Dividend ETF,유동시가총액 상위 200 종목 중 예상 배당수익률이 상위 30위 이내 종목을 선정해 투자하여 배당 수익과 자본이익을 동시에 기대하는 ETF,KRX,168.44,"['한화ARIRANG고배당주증권상장지수투자신탁(주식)', 'ETF', '상장지수', '한화', 'ARIRANG 고배당주', '161510']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 175}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
302450-KR,EF0000000054,KBSTAR 코스피,KB KBSTAR KOSPI ETF,대한민국을 대표하는 코스피 지수를 추종하는 ETF,KRX,142.71,"['KB KBSTAR 코스피증권상장지수투자신탁(주식)', 'ETF', '상장지수', 'KB', 'KBSTAR 코스피', '302450']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 172}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
328370-KR,EF0000000055,ARIRANG 코스피TR,Hanwha ARIRANG KOSPI TR ETF Units,"코스피 지수에 투자하면서, 발생하는 배당 수익의 재투자로 복리효과를 기대할 수 있는 ETF",KRX,86.57,"['한화 ARIRANG 코스피TOTALRETURN증권상장지수투자신탁(주식)', 'ETF', '상장지수', '한화', 'ARIRANG 코스피TR', '328370']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 112}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
156080-KR,EF0000000083,KODEX MSCI Korea,Samsung KODEX MSCI Korea ETF,한국주식시장을 대표하는 주식들로 구성된 ETF,KRX,6.16,"['삼성 KODEX MSCI KOREA 증권상장지수투자신탁', 'KODEX MSCI Korea', 'ETF', '상장지수', '삼성', 'KODEX MSCI KOREA', '156080']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 90}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
325010-KR,EF0000000084,KODEX Fn성장,Samsung Kodex Fn Growth ETF,대형주를 중심으로 성장주 스타일 종목에 분산투자하는 ETF,KRX,79.33,"['삼성 KODEX FN성장증권상장지수투자신탁', 'KODEX Fn성장', 'ETF', '상장지수', '삼성', 'KODEX FN성장', '325010']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 90}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
376410-KR,EF0000000085,TIGER 탄소효율그린뉴딜,MIRAE ASSET TIGER CARBON EFFICIENT GREEN NEWDEAL ETF Units,국내 상장기업 중 탄소 배출량을 효율적으로 관리하는 기업에 가중치를 주어 투자하는 ETF,KRX,53.76,"['미래에셋 TIGER 탄소효율그린뉴딜증권상장지수투자신탁(주식', 'ETF', '상장지수', '미래에셋', 'TIGER 탄소효율그린뉴딜', '376410']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 86}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
114260-KR,EF0000000086,KODEX 국고채3년,Samsung KODEX Treasury Bond ETF,최근 월물의 기초자산이 되는 국고채권 3종목에 투자하는 ETF,KRX,119.04,"['삼성 KODEX 국고채권 증권상장지수투자신탁(채권)', 'ETF', '상장지수', '삼성', 'KODEX 국고채3년', '114260']","[{'category_topc_id': 'EC0000000005', 'category': '국내국공채', 'wght_val': 84}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
130680-KR,EF0000000087,TIGER 원유선물Enhanced(H),Mirae Asset Tiger WTI Futures ETF,높은 초기 투자금을 필요로 하는 원유선물과 달리 소액으로 편리하게 투자하는 ETF,KRX,46.13,"['미래에셋 TIGER 원유선물 특별자산상장지수투자신탁(원유-파', 'TIGER 원유선물Enhanced(H)', 'ETF', '상장지수', '미래에셋', 'TIGER 원유선물ENHANCED(H)', '130680']","[{'category_topc_id': 'EC0000000008', 'category': '원자재', 'wght_val': 75}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
364970-KR,EF0000000088,TIGER KRX바이오K-뉴딜,Mirae Asset Tiger KRX Bio K-New Deal ETF,한국 바이오 산업을 대표하는 10개 기업에 투자하는 ETF,KRX,85.14,"['미래에셋 TIGER KRX바이오K-뉴딜증권상장지수투자신탁(주식)', 'ETF', '상장지수', '미래에셋', 'TIGER KRX바이오K-뉴딜', '364970']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 75}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
117700-KR,EF0000000089,KODEX 건설,Samsung KODEX Constructions ETF,국내 건설산업을 이끄는 핵심 관련주에 투자하는 ETF,KRX,76.36,"['삼성 KODEX건설증권상장지수투자신탁(주식)', '삼성', 'ETF', '상장지수', 'KODEX 건설', '117700']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 82}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
371470-KR,EF0000000090,TIGER 차이나바이오테크SOLACTIVE,MIRAE ASSET TIGER CHINA BIOTECH SOLACTIVE ETF,새롭게 성장하는 신약개발의 메카 중국! 중국 바이오 산업에 투자하는 ETF,KRX,67.4,"['미래에셋 TIGER 차이나바이오테크SOLACTIVE증권상장지수투자신', 'ETF', '상장지수', '미래에셋', 'TIGER 차이나바이오테크SOLACTIVE', '371470']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 80}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
195980-KR,EF0000000093,ARIRANG 신흥국MSCI(합성 H),Hanwha Arirang SYNTH-MSCI Emerging Markets ETF(H),"신흥국 대표 중국, 브라질, 인도 등 약 20개 해외 유망 신흥국 주가지수를 추종하는 ETF
",KRX,60.47,"['한화 ARIRANG MSCI EMERGING MARKETS 증권상장지수투자신탁(주식-파', 'ETF', '상장지수', '한화', 'ARIRANG 신흥국MSCI(합성 H)', '195980']","[{'category_topc_id': 'EC0000000003', 'category': '해외주식:시장', 'wght_val': 68}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
174360-KR,EF0000000094,KBSTAR 중국본토대형주CSI100,KB KBSTAR China Mainland CSI100 Feeder ETF,"중국 경제성장의 핵심, 중국본토 A주 주식에 투자하는 ETF",KRX,64.65,"['KB KBSTAR 중국본토 CSI100 증권상장지수자투자신탁(주식)', 'KB', 'ETF', '상장지수', 'KBSTAR 중국본토대형주CSI100', '174360']","[{'category_topc_id': 'EC0000000003', 'category': '해외주식:시장', 'wght_val': 66}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
153270-KR,EF0000000247,KOSEF 코스피100,KIWOOM iKon 100 ETF,코스피 100 지수를 구성하는 100 종목에 투자하는 ETF,KRX,16.38,"['키움 KOSEF 코스피100증권 상장지수투자신탁 (주식)', '키움', 'ETF', '상장지수', 'KOSEF 코스피100', '153270']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
285000-KR,EF0000000248,KBSTAR 200IT,KB KBSTAR 200 Information Technology ETF,코스피 200 지수 내에 정보기술 섹터에 속하거나 유사업종에 속한 기업에 투자하는 ETF ,KRX,8.55,"['KB KBSTAR 200 IT증권상장지수투자신탁(주식)', 'ETF', '상장지수', 'KB', 'KBSTAR 200IT', '285000']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 10}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
329670-KR,EF0000000249,KODEX TRF7030,SAMSUNG KODEX TRF7030 ETF Units,글로벌 선진국 주식 : 국내채권 = 7 : 3 비중으로 투자하는 ETF,KRX,18.38,"['삼성 KODEX TRF7030증권상장지수투자신탁[주식혼합-재간접]', '삼성', 'ETF', '상장지수', 'KODEX TRF7030', '329670']","[{'category_topc_id': 'EC0000000012', 'category': '기타', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
269420-KR,EF0000000250,KODEX S&P글로벌인프라(합성),SAMSUNG KODEX S&P Global Infrastructure ETF-SYNTH,"전세계 75개 글로벌 인프라 기업(에너지, 운송, 유틸리티 등) 관련 주식에 투자하는 ETF",KRX,12.09,"['삼성 KODEX S&P글로벌인프라증권상장지수투자신탁[주식-파생', '삼성', 'ETF', '상장지수', 'KODEX S&P글로벌인프라(합성)', '269420']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
213610-KR,EF0000000251,KODEX 삼성그룹밸류,SAMSUNG KODEX SAMSUNG Group Value ETF Units,삼성그룹 핵심 계열사의 내재 가치를 반영하여 비중을 조절해 투자하는 ETF,KRX,6.9,"['삼성KODEX삼성그룹밸류증권상장지수투자신탁(주식)', '삼성', 'ETF', '상장지수', 'KODEX 삼성그룹밸류', '213610']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 7}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
253290-KR,EF0000000252,KBSTAR 헬스케어채권혼합,KB KBSTAR HealthCare Fixed Income Balanced ETF,채권의 안정성과 주식의 수익성을 겸비한 혼합형 ETF,KRX,10.12,"['KB KBSTSAR 헬스케어채권혼합증권상장지수투자신탁(채권혼합)', 'KB', 'ETF', '상장지수', 'KBSTAR 헬스케어채권혼합', '253290']","[{'category_topc_id': 'EC0000000010', 'category': '국내혼합', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
251600-KR,EF0000000253,ARIRANG 고배당주채권혼합,Hanwha ARIRANG High Dividend Conservative Balanced ETF,배당 수익과 자본이익을 동시에 기대할 수 있는 주식과 안전자산인 국고채권에 투자하는 ETF,KRX,10.29,"['한화 ARIRANG 고배당주채권혼합증권상장지수투자신탁(채권혼', '한화', 'ETF', '상장지수', 'ARIRANG 고배당주채권혼합', '251600']","[{'category_topc_id': 'EC0000000010', 'category': '국내혼합', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
100910-KR,EF0000000254,KOSEF KRX100,Kiwoom KOSEF KRX100 ETF,코스피 100 지수를 구성하는 100 종목에 투자하는 ETF,KRX,9.32,"['키움 KOSEF KRX100 상장지수증권투자신탁', '키움', 'ETF', '상장지수', 'KOSEF KRX100', '100910']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
300640-KR,EF0000000255,KBSTAR 게임테마,KB KBSTAR Game Industry ETF,국내 게임 소프트웨어 기업에 투자하는 업계 최초 ETF,KRX,47.4,"['KB KBSTAR 게임테마증권상장지수투자신탁(주식)', 'KB', 'ETF', '상장지수', 'KBSTAR 게임테마', '300640']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
271060-KR,EF0000000256,KODEX 3대농산물선물(H),Samsung KODEX Grains Futures ETF(H),"시카고상품거래소(CBOT)에 상장된 옥수수선물, 콩선물, 밀선물 가격의 움직임을 추종하는 ETF",KRX,7.84,"['삼성 KODEX 3대농산물선물특별자산상장지수투자신탁(농산물-', '삼성', 'ETF', '상장지수', 'KODEX 3대농산물선물(H)', '271060']","[{'category_topc_id': 'EC0000000008', 'category': '원자재', 'wght_val': 10}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
316300-KR,EF0000000258,KINDEX 싱가포르리츠,KIM KINDEX Singapore REITs ETF,배당수익이 높고 재무적 안정성을 갖춘 싱가포르에 상장된 상품,KRX,9.16,"['한국투자 KINDEX 싱가포르리츠부동산상장지수투자신탁(재간', '한국투자', 'ETF', '상장지수', 'KINDEX 싱가포르리츠', '316300']","[{'category_topc_id': 'EC0000000012', 'category': '기타', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
329660-KR,EF0000000259,KODEX TRF5050,SAMSUNG KODEX TRF5050 ETF Units,글로벌 선진국 주식 : 국내채권 = 5 : 5 비중으로 투자하는 ETF,KRX,19.0,"['삼성 KODEX TRF5050증권상장지수투자신탁[주식혼합-재간접]', '삼성', 'ETF', '상장지수', 'KODEX TRF5050', '329660']","[{'category_topc_id': 'EC0000000012', 'category': '기타', 'wght_val': 12}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
360150-KR,EF0000000260,KODEX 코스닥150롱코스피200숏선물,SAMSUNG KODEX KOSDAQ150LONGKOSPI200SHORT Futures ETF,"코스닥 150 지수는 매수하고, 코스피 200 지수는 매도하여 지수간 갭에 투자하는 ETF",KRX,11.4,"['삼성 KODEX 코스닥150롱코스피200숏선물증권상장지수투자신탁[', 'ETF', '상장지수', '삼성', 'KODEX 코스닥150롱코스피200숏선물', '360150']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 10}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
183710-KR,EF0000000261,KBSTAR 주식혼합,KB KBSTAR Equity Balanced ETF,국내주식과 국고채에 7:3 비율로 투자하는 혼합형 ETF,KRX,7.11,"['KB KBSTAR 주식혼합 증권 상장지수 투자신탁(주식혼합-파생형)', 'KB', 'ETF', '상장지수', 'KBSTAR 주식혼합', '183710']","[{'category_topc_id': 'EC0000000010', 'category': '국내혼합', 'wght_val': 10}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
310080-KR,EF0000000257,KBSTAR 중국MSCI China(H),KB KBSTAR MSCI China Futures ETF(H),"홍콩 H주, Red Chip, P-chip 및 본토 A주 까지, 전세계 상장된 중국기업에 투자하는 ETF ",KRX,9.57,"['KB KBSTAR 중국MSCICHINA증권상장지수투자신탁(주식-파생형)(H)', 'KB', 'KBSTAR 중국MSCI China(H)', 'ETF', '상장지수', 'KBSTAR 중국MSCI CHINA(H)', '310080']","[{'category_topc_id': 'EC0000000003', 'category': '해외주식:시장', 'wght_val': 12}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
373490-KR,EF0000000262,KODEX K-이노베이션액티브,SAMSUNG KODEX K-Innovation Active ETF Units,혁신성장 기업에 집중 투자하여 장기적으로 높은 자본이득을 추구하는 Active ETF,KRX,5.05,"['삼성 KODEX K-이노베이션액티브증권상장지수투자신탁[주식]', 'ETF', '상장지수', '삼성', 'KODEX K-이노베이션액티브', '373490']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 10}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
248260-KR,EF0000000263,TIGER 일본TOPIX헬스케어(합성),MIRAE ASSET TIGER SYNTH-JAPAN HEALTHCARE ETF,세계 2위의 의약품 및 의료기기 시장을 가진 일본 헬스케어 시장에 투자하는 ETF,KRX,9.23,"['미래에셋 TIGER 일본헬스케어증권상장지수투자신탁(주식-파', '미래에셋', 'ETF', '상장지수', 'TIGER 일본TOPIX헬스케어(합성)', '248260']","[{'category_topc_id': 'EC0000000004', 'category': '해외주식:테마', 'wght_val': 0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
308620-KR,EF0000000264,KODEX 미국채10년선물,Samsung KODEX T-note Futures ETF,"글로벌 안전자산의 대명사, 미국 국채 10년에 투자하는 ETF",KRX,12.02,"['삼성 KODEX 미국채10년선물증권상장지수투자신탁(채권-파생형', '삼성', 'ETF', '상장지수', 'KODEX 미국채10년선물', '308620']","[{'category_topc_id': 'EC0000000007', 'category': '해외선진국채권', 'wght_val': 11}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
102110-KR,EF0000000003,TIGER 200,Mirae Asset Tiger 200 ETF,코스피 200 지수를 구성하는 200 종목에 투자하는 ETF,KRX,1742.09,"['미래에셋맵스 TIGER200 증권상장지수투자신탁(주식)', 'ETF', '상장지수', '미래에셋맵스', 'TIGER 200', '102110']","[{'category_topc_id': 'EC0000000001', 'category': '국내주식:시장', 'wght_val': 2123}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
102780-KR,EF0000000004,KODEX 삼성그룹,Samsung KODEX Samsung Group ETF,삼성그룹의 시가총액 1조원 이상의 핵심계열사에 투자하는 대표 테마 ETF,KRX,1077.03,"['삼성KODEX 삼성그룹주증권상장지수투자신탁(주식)', 'ETF', '상장지수', '삼성', 'KODEX 삼성그룹', '102780']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 1417}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
214980-KR,EF0000000005,KODEX 단기채권PLUS,Samsung KODEX KRW CASH PLUS ETF,"MMF, CMA 처럼 자유로운 환금성&안정적 수익률 추구하는 ETF",KRX,1050.04,"['삼성KODEX단기채권PLUS증권상장지수투자신탁(채권)', 'ETF', '상장지수', '삼성', 'KODEX 단기채권PLUS', '214980']","[{'category_topc_id': 'EC0000000005', 'category': '국내국공채', 'wght_val': 1755}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
333970-KR,EF0000000299,ARIRANG KS밸류가중TR,Hanwha ARIRANG KS Value Tilt Total Return ETF Units,코스피에 상장된 보통주 중 기업가치 대비 저평가된 종목의 비중을 증가하여 투자하는 ETF,KRX,6.67,"['한화 ARIRANG KS밸류가중 TOTAL RETURN 증권상장지수투자신탁', '한화', 'ETF', '상장지수', 'ARIRANG KS밸류가중TR', '333970']","[{'category_topc_id': 'EC0000000002', 'category': '국내주식:테마', 'wght_val': 8}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
